,orderx,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
71,Comatulida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01049669930702032,0.014494275891311212,,0.011623978496961555,,,,,,,,,,,,,,,,,,,
72,Coniochaetales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009003530075820247,,,,,,,,,,,,,,,,
73,Copelata,,,,,,,,0.046373889576016826,,,,,0.19369573438265883,0.17230060940112776,0.12680852498964829,0.18509091625235524,0.40110803536365003,0.371779363719879,0.15381959460845396,0.11003576743757061,0.07328810410018555,0.05330578815801457,0.13478428800855063,0.16633433001162481,0.13278251709892816,0.19736220853996686,0.19141896816680892,0.043574467033059505,,,,0.1331881830759101,0.1242625304369271,0.35079701026858984,0.016438788039136256,0.021121448995587128,0.08700221858486124,0.06106491198720578,0.08270396169735617,0.05913123959890826,0.03694760603279221,,,,,,,,,,,,,
74,Corallimorpharia,,,,,,,,,,,,,,,,,,,,,,,,,0.014402286112292014,0.026612314770617474,0.04785474204170223,,,,,,,,,,,,,,0.01652347173904094,,,,,,,,,,,,,
75,Corallinales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01049669930702032,0.014494275891311212,,0.02324795699392311,0.00798315733880836,,,,,,,0.03485780871878749,,,,,,,,,,,
76,Craspedida,,,,,0.06408413361120015,,,,,,,,0.037986858819879316,0.03952847075210474,0.025884681771633982,0.010495542964487809,,,0.01919000537752001,0.016588516095874008,0.02317573343521114,0.02293915886582789,,0.05364120963777081,0.04776697915781899,0.09957416414063414,0.027628948199776883,,,,,0.04065354160623664,0.028988551782622423,0.03456505649101418,0.011623978496961555,0.01382723411563243,,0.015594571538795133,0.036986336072765455,0.04181210050035454,0.013491358179982834,,,,,,,,0.0373196685431038,,,,,0.0668153104781061
77,Cryomonadida,0.05949641173087296,,0.19611613513818404,0.12635334150137517,0.04531432544294438,,0.03520166719043814,,,0.12964074471043288,,0.029350470314481562,,,0.025884681771633982,0.010495542964487809,,,0.013569382933450712,0.00741860992724474,0.11017617899471362,0.1222465634240734,0.10360950636922424,0.10728241927554162,0.12389314972694672,0.11901388973144479,0.0916348545308252,0.071156806696482,,0.0823666225822317,0.0991606862181216,0.07496142683702095,0.07319250547113999,,0.0771047504911616,0.08889667786776428,0.029000739528287075,0.051721342560538695,,0.07242068243779014,0.04266342057788964,,0.07794442984189368,0.02992081462322006,,,,,,,,0.04025848411142373,0.04425905397725761,0.08183170883849714
78,Cryptomonadales,,,,,,,,,,,,,0.05372153093502535,0.06846531968814576,0.03170213124741207,0.033189821047937204,0.3648950602475528,0.36467011557532003,0.06985267396211488,0.046919408884858814,0.16680089127299683,0.15456295620236674,0.2207262242260908,0.18342084112212004,0.17282743334750417,0.15744057739593334,0.1703162751700091,,,,0.031357362279453245,0.13360117068126365,0.15644420703869602,0.15457963192005608,0.2522697933603534,0.22734484750922704,0.264209311218524,0.19930163414994337,0.33492551798747616,0.3498251311407206,0.23172168637068472,,,,,,,,,,,,,
79,Ctenostomatida,,,,,0.04531432544294438,,,,,,,,,,,,,,,,,,,0.01487739475591506,0.020367908349181042,,,,,,,0.01049669930702032,0.03399209003391744,,0.011623978496961555,0.00798315733880836,,,,,,,,,,,,,,,,,,
80,Cucurbitales,,,,,,,,,,,,,,,0.01056737708247069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Cutleriales,,,,,,,,,,,,,,,,,,,0.013569382933450712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
