,species,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
91,Cymbomonas_tetramitiformis,0.03594425773447947,,,,,,,,,,,,,,0.013226194228392581,0.01318245212593168,,,,,0.008712798175434305,0.014912644074701838,,,,,,0.03803262062278692,,0.03241870060995729,,0.00919445484142067,0.012630935170956916,,,0.006642502388478226,,0.01067642700984599,,0.029656491293029667,0.010695340092890231,,,,,,,,,,,,,
92,Cystofilobasidium_capitatum,,,,,,,,,,,0.07658395810674835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Daphnia_magna,,,,0.05646324263033042,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00919445484142067,,,,0.006642502388478226,,,,,,,,,,,,,,,,,,
94,Desmochloris_halophila,,,,,,,0.029247769028706173,,,,,,,,,,,,,,,,,0.01751289314081576,0.02705668903744704,,,,,,,0.03315107838068035,0.03220269245581736,0.058495538057412345,,,,,,,,0.01592122559943443,,,0.015920553008951926,0.0648009272153293,0.05227083734893167,0.0430730492253948,,,,,,
95,Diaphanoeca_grandis,,,,,,,,,,,,,0.030443128277399152,,,,,,0.00848922128718779,0.009338456363079405,,,,0.021448826057443037,0.017112152660248292,,0.021816595214404263,,,,,0.013002922735364077,,,0.0095980959266335,0.013285004776956452,,,,,,,,,,,,,,,,,,
96,Diaulula_sandiegensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00919445484142067,,,,,,,,,,,,,,,,,,,,,,
97,Dictyocha_speculum,,,,,,,,,,,,,0.04305308489096176,,0.031018174925669124,0.02636490425186336,,0.03920312801169875,,,0.037978206762183706,0.05020344082549573,0.031951980305316645,0.030333220707417386,0.024200238373521976,0.028988551782622423,,,,,,0.01838890968284134,0.012630935170956916,,0.12403473458920845,0.12284140421487014,0.10008707010791881,0.013075899225095517,,,0.026198125853112306,,,,,,,,,,,,,
98,Dictyopteris_undulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11260861412271532,0.10453958984788861,0.14623884514353086,,,0.020869596778242055,,,,,,,,,,,,,,,,,
99,Dictyota_binghamiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015925262933238246,0.02363031594213686,,,,,,,,,,,,,,,,,,,,,
100,Dictyota_dichotoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00919445484142067,0.012630935170956916,,,,,,,,,,,,,,,,,,,,,
101,Didymoeca_costata,,,,,,,,,,,,,,,,,,,0.012005571878327357,0.009338456363079405,0.012321757345918753,,,0.021448826057443037,0.02963911783442497,,,,,,,,0.0089314199121113,,0.016624389800849106,0.014853086881342029,,,,,0.02000914913131111,,,,,,,,,,,,,
